order_id,month,region,product,units,price,cost,revenue
SO-1000,2026-02,Berlin,Pro Plan,18,65.2,26.0,1173.6
SO-1001,2026-09,Berlin,Add-on Pack,3,21.11,9.0,63.33
SO-1002,2026-05,Lagos,Enterprise,35,101.0,51.23,3535.0
SO-1003,2026-06,Lagos,Enterprise,28,84.75,34.27,2373.0
SO-1004,2026-10,Berlin,Pro Plan,25,34.83,22.52,870.75
SO-1005,2026-07,Osaka,Pro Plan,30,124.93,86.28,3747.9
SO-1006,2026-04,Berlin,Starter,40,196.52,93.66,7860.8
SO-1007,2026-04,Berlin,Pro Plan,15,173.48,120.54,2602.2
SO-1008,2026-03,Berlin,Add-on Pack,18,107.95,69.3,1943.1
SO-1009,2026-11,Milan,Starter,14,152.39,90.77,2133.46
SO-1010,2026-07,Berlin,Enterprise,35,164.47,66.97,5756.45
SO-1011,2026-04,Osaka,Enterprise,21,187.78,116.72,3943.38
SO-1012,2026-10,Lagos,Starter,26,69.89,29.62,1817.14
SO-1013,2026-08,Milan,Enterprise,32,96.1,64.4,3075.2
SO-1014,2026-05,Seoul,Starter,9,65.56,35.83,590.04
SO-1015,2026-09,Dakar,Add-on Pack,24,59.96,41.92,1439.04
SO-1016,2026-03,Sao Paulo,Pro Plan,4,191.53,77.28,766.12
SO-1017,2026-09,Dakar,Pro Plan,25,93.23,65.13,2330.75
SO-1018,2026-05,Osaka,Pro Plan,8,154.75,83.25,1238.0
SO-1019,2026-12,Milan,Pro Plan,19,104.13,52.98,1978.47
SO-1020,2026-05,Osaka,Enterprise,33,202.09,132.3,6668.97
SO-1021,2026-09,Paris,Enterprise,24,171.31,92.3,4111.44
SO-1022,2026-05,Lagos,Starter,32,18.99,12.82,607.68
SO-1023,2026-02,Paris,Pro Plan,16,194.99,132.87,3119.84
SO-1024,2026-08,Sao Paulo,Pro Plan,35,172.0,67.93,6020.0
SO-1025,2026-04,Seoul,Starter,34,193.85,96.56,6590.9
SO-1026,2026-08,Paris,Starter,26,219.01,126.47,5694.26
SO-1027,2026-10,Sao Paulo,Pro Plan,16,61.06,28.6,976.96
SO-1028,2026-04,Paris,Enterprise,1,29.55,16.87,29.55
SO-1029,2026-11,Berlin,Pro Plan,22,29.53,12.8,649.66
SO-1030,2026-10,Sao Paulo,Enterprise,35,42.12,28.53,1474.2
SO-1031,2026-02,Sao Paulo,Enterprise,31,180.54,75.22,5596.74
SO-1032,2026-01,Dakar,Starter,28,99.28,64.76,2779.84
SO-1033,2026-02,Berlin,Pro Plan,26,164.28,103.53,4271.28
SO-1034,2026-03,Paris,Enterprise,13,124.94,49.86,1624.22
SO-1035,2026-09,Osaka,Add-on Pack,16,194.27,73.12,3108.32
SO-1036,2026-04,Berlin,Pro Plan,35,186.39,128.45,6523.65
SO-1037,2026-01,Seoul,Add-on Pack,32,113.68,74.19,3637.76
SO-1038,2026-08,Seoul,Add-on Pack,1,216.99,96.09,216.99
SO-1039,2026-04,Osaka,Add-on Pack,36,150.68,78.4,5424.48
SO-1040,2026-12,Osaka,Enterprise,4,133.73,72.18,534.92
SO-1041,2026-09,Milan,Pro Plan,4,134.76,70.88,539.04
SO-1042,2026-10,Seoul,Pro Plan,33,31.42,13.04,1036.86
SO-1043,2026-04,Berlin,Enterprise,26,39.58,26.19,1029.08
SO-1044,2026-06,Lagos,Pro Plan,27,149.76,82.04,4043.52
SO-1045,2026-11,Osaka,Enterprise,21,63.93,31.23,1342.53
SO-1046,2026-01,Osaka,Add-on Pack,21,205.45,139.19,4314.45
SO-1047,2026-03,Sao Paulo,Pro Plan,5,125.22,66.0,626.1
SO-1048,2026-09,Milan,Pro Plan,16,90.75,36.77,1452.0
SO-1049,2026-03,Osaka,Pro Plan,36,76.37,44.46,2749.32
SO-1050,2026-05,Osaka,Pro Plan,7,167.2,67.62,1170.4
SO-1051,2026-09,Paris,Starter,14,155.94,101.13,2183.16
SO-1052,2026-05,Sao Paulo,Starter,4,33.92,16.9,135.68
SO-1053,2026-05,Lagos,Pro Plan,22,173.08,99.17,3807.76
SO-1054,2026-02,Seoul,Add-on Pack,36,159.66,87.23,5747.76
SO-1055,2026-09,Berlin,Enterprise,35,22.39,10.73,783.65
SO-1056,2026-01,Seoul,Add-on Pack,9,23.57,11.26,212.13
SO-1057,2026-09,Milan,Enterprise,16,151.72,71.88,2427.52
SO-1058,2026-03,Dakar,Enterprise,16,192.24,132.97,3075.84
SO-1059,2026-07,Dakar,Pro Plan,12,166.0,77.4,1992.0
